"Date","Price","Open","High","Low","Vol.","Change %"
"2019-11-11","16,882.83","16,834.79","16,895.12","16,819.85","153.06M","0.03%"
"2019-11-08","16,877.42","16,795.72","16,879.65","16,795.72","207.48M","0.43%"
"2019-11-07","16,805.75","16,797.31","16,834.43","16,788.63","242.58M","0.36%"
"2019-11-06","16,745.64","16,692.97","16,766.58","16,666.88","217.18M","0.38%"
"2019-11-05","16,681.92","16,663.90","16,696.78","16,660.27","229.38M","0.07%"
"2019-11-04","16,669.81","16,646.09","16,681.60","16,642.46","244.78M","0.46%"
"2019-11-01","16,594.07","16,537.72","16,608.00","16,534.93","201.18M","0.67%"
"2019-10-31","16,483.16","16,473.31","16,483.16","16,409.51","222.28M","-0.11%"
"2019-10-30","16,501.43","16,412.45","16,501.45","16,373.54","160.01M","0.51%"
"2019-10-29","16,418.14","16,330.94","16,454.11","16,315.57","178.12M","0.19%"
"2019-10-28","16,387.53","16,434.44","16,453.24","16,387.53","162.18M","-0.10%"
"2019-10-25","16,404.49","16,369.75","16,425.04","16,356.48","173.51M","0.21%"
"2019-10-24","16,369.32","16,380.83","16,412.08","16,332.48","167.16M","0.20%"
"2019-10-23","16,335.93","16,386.13","16,395.94","16,309.18","181.91M","-0.34%"
"2019-10-22","16,391.52","16,470.28","16,484.84","16,391.52","171.98M","-0.16%"
"2019-10-21","16,418.45","16,421.04","16,443.29","16,412.07","155.11M","0.25%"
"2019-10-18","16,377.12","16,452.73","16,462.12","16,376.60","166.42M","-0.30%"
"2019-10-17","16,426.30","16,450.51","16,468.78","16,400.54","168.40M","-0.01%"
"2019-10-16","16,427.18","16,435.10","16,445.59","16,408.73","165.97M","0.05%"
"2019-10-15","16,418.39","16,433.73","16,510.65","16,417.75","212.33M","0.02%"
"2019-10-11","16,415.16","16,487.17","16,516.71","16,413.44","200.75M","-0.05%"
"2019-10-10","16,422.68","16,375.36","16,444.35","16,358.10","186.02M","0.26%"
"2019-10-09","16,379.87","16,347.34","16,409.10","16,308.67","176.21M","0.53%"
"2019-10-08","16,293.95","16,366.46","16,372.67","16,274.70","198.43M","-0.79%"
"2019-10-07","16,424.52","16,420.68","16,474.67","16,394.49","155.83M","-0.15%"
"2019-10-04","16,449.35","16,386.89","16,453.18","16,362.01","183.48M","0.49%"
"2019-10-03","16,369.03","16,285.42","16,369.58","16,198.09","238.19M","0.36%"
"2019-10-02","16,310.97","16,401.77","16,416.96","16,223.59","218.20M","-0.83%"
"2019-10-01","16,447.66","16,683.64","16,707.54","16,429.57","225.20M","-1.27%"
"2019-09-30","16,658.63","16,666.65","16,730.54","16,658.63","200.79M","-0.21%"
"2019-09-27","16,694.27","16,769.35","16,769.35","16,656.43","196.46M","-0.57%"
"2019-09-26","16,790.40","16,788.13","16,800.72","16,749.88","204.56M","0.04%"
"2019-09-25","16,784.29","16,771.04","16,800.85","16,725.79","197.46M","-0.08%"
"2019-09-24","16,798.33","16,877.40","16,917.62","16,772.37","207.31M","-0.41%"
